Unnamed: 0;filename;DISORDER;core_All_Metals;core_Open_Metal_Sites;temperature_Celsius;time_h;Yield_Percent;metal_ele1;metal_os1;metal_ele2;metal_os2;metal_ele3;metal_os3;metal_ele4;metal_os4;metal_ele5;metal_os5;solvent1;solvent2;solvent3;solvent4;solvent5;additive1;additive2;additive3;additive4;additive5;other1;other2;other3;other4;other5;other6;other7;other8
851;ODEZAB_clean;;Cu;Cu;80;72;;Cu;2;;;;;;;;;6228;962;;;;313;;;;;;;;;;;;
852;PORVID_clean;;Cu;Cu;80;72;;Cu;2;;;;;;;;;962;;;;;944;1176;;;;;;;;;;;
853;AVEQID_clean;;Zn;Zn;85;72;;Zn;2;;;;;;;;;31374;962;;;;944;;;;;;;;;;;;
854;MAYKOO_clean;;Cu;Cu;85;72;90;Cu;2;;;;;;;;;6228;31275;962;;;313;;;;;;;;;;;;
856;HAFSOZ_clean;;Zn;Zn;95;72;;Zn;2;;;;;;;;;31374;962;;;;;;;;;;;;;;;;
857;HUCSEF_clean;DISORDER;Cu;Cu;100;72;;Cu;2;;;;;;;;;31374;962;;;;944;;;;;;;;;;;;
859;WIKGII_clean;DISORDER;Zn;Zn;100;72;;Zn;2;;;;;;;;;6228;;;;;;;;;;;;;;;;;
860;PAQMAY_clean;DISORDER;Tb;Tb;105;72;;Tb;3;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
861;HOFSUS_clean;;Zn;Zn;110;72;45;Zn;2;;;;;;;;;31374;962;;;;;;;;;;;;;;;;
863;LUZJAT_clean;;Zn;Zn;110;72;;Zn;2;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
864;BADXAI_clean;DISORDER;Tb;Tb;120;72;89;Tb;3;;;;;;;;;962;6342;;;;;;;;;;;;;;;;
866;KUZZAI_clean;;Zn;Zn;120;72;60;Zn;2;;;;;;;;;31374;31254;;;;28118;;;;;;;;;;;;
867;NIYZIG_clean;;Zn;Zn;120;72;68;Zn;2;;;;;;;;;12051;702;962;;;;;;;;;;;;;;;
868;NUMPAO_clean;DISORDER;Zn;Zn;130;72;57;Zn;2;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
869;QUQHEQ_clean;DISORDER;Zn;Zn;130;72;;Zn;2;;;;;;;;;962;887;;;;;;;;;;;;;;;;
872;DEMLAJ_clean;DISORDER;Cu;Cu;140;72;;Cu;1;;;;;;;;;6342;;;;;;;;;;;;;;;;;
878;KIVSUF_clean;DISORDER;Cu;Cu;150;72;33;Cu;2;;;;;;;;;962;;;;;8471;;;;;;;;;;;;
879;NIRDOI_clean;DISORDER;Zn;Zn;150;72;76.2;Zn;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
881;NUCREJ_clean;;Zn;Zn;160;72;;Zn;2;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
883;PEKZIP_clean;;Cu;Cu;180;72;;Cu;1;;;;;;;;;962;;;;;;;;;;;;;;;;;
884;BUPDOH_clean;DISORDER;Cu;Cu;80;96;63;Cu;2;;;;;;;;;6228;702;962;;;313;;;;;;;;;;;;
885;ERULEK_clean;;Zn;Zn;80;96;40;Zn;2;;;;;;;;;6228;;;;;;;;;;;;;;;;;
887;GUHMIH_clean;;Cu;Cu;120;96;;Cu;2;;;;;;;;;962;;;;;313;;;;;;;;;;;;
890;ERIWAF_clean;;Cu;Cu;80;108;40;Cu;2;;;;;;;;;6228;887;962;;;313;;;;;;;;;;;;
891;QUTDAM_clean;DISORDER;Cu;Cu;85;120;;Cu;2;;;;;;;;;6228;702;962;;;313;;;;;;;;;;;;
892;EXECAN_clean;DISORDER;Zn;Zn;100;120;75.6;Zn;2;;;;;;;;;31374;962;;;;944;;;;;;;;;;;;
893;HUVHIR_clean;;Zn;Zn;110;120;26;Zn;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
894;FOJLOH_clean;;Zn;Zn;115;120;;Zn;2;;;;;;;;;6228;962;;;;;;;;;;;;;;;;
896;MAZSOX_clean;DISORDER;Zn;Zn;120;120;70;Zn;2;;;;;;;;;887;31374;;;;9261;;;;;;;;;;;;
898;LACJAC_clean;;Zn;Zn;140;120;65;Zn;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
900;ETAXIH_clean;;Zn;Zn;180;120;∼54;Zn;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
902;MIZKOW_clean;;Cu,La;Cu;170;168;39;Cu;1;La;3;;;;;;;962;;;;;176;;;;;;;;;;;;
903;NOSJIQ_charged;;Dy,Cu;Cu;170;168;32.22;Dy;3;Cu;1;;;;;;;962;;;;;313;284;;;;;;;;;;;
907;DACSEI_clean;DISORDER;Cu;Cu;80;36;44;Cu;2;;;;;;;;;6228;887;962;;;313;;;;;;;;;;;;
908;EHUTAE_clean;DISORDER;Cu;Cu;85;48;85;Cu;2;;;;;;;;;6228;962;;;;313;;;;;;;;;;;;
909;EKEMEO_clean;DISORDER;Cu;Cu;90;120;;Cu;2;;;;;;;;;6228;702;962;;;313;;;;;;;;;;;;
914;KOJZOZ_clean;DISORDER;Cu;Cu;85;20;76;Cu;2;;;;;;;;;6228;702;1049;;;;;;;;;;;;;;;
915;KUKQAK_clean;DISORDER;Cu;Cu;120;72;65;Cu;2;;;;;;;;;962;887;6342;;;;;;;;;;;;;;;
918;PEJMUO_clean;DISORDER;Cu;Cu;105;24;68;Cu;2;;;;;;;;;962;6342;;;;944;700;;;;;;;;;;;
920;RAHNUL_clean;DISORDER;Cu;Cu;85;18;80;Cu;2;;;;;;;;;6228;679;962;;;313;;;;;;;;;;;;
921;RAHPAT_clean;DISORDER;Cu;Cu;85;18;87;Cu;2;;;;;;;;;6228;962;;;;313;;;;;;;;;;;;
922;RUFZOJ_clean;DISORDER;Cu;Cu;60;72;45;Cu;2;;;;;;;;;6228;962;887;;;;;;;;;;;;;;;
923;SUNLAP_clean;DISORDER;Cu;Cu;80;336;42;Cu;2;;;;;;;;;6228;962;;;;222;;;;;;;;;;;;
927;ZOJWAY_clean;DISORDER;Cu;Cu;60;4;65;Cu;2;;;;;;;;;6228;962;;;;28118;;;;;;;;;;;;
928;ADASEF_clean;;Cu;Cu;75;40;;Cu;2;;;;;;;;;6228;;;;;;;;;;;;;;;;;
932;BEXVEH_clean;;Cu;Cu;80;48;52;Cu;2;;;;;;;;;31374;962;;;;944;;;;;;;;;;;;
933;BOWNUY_clean;;Cu;Cu;85;48;;Cu;2;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
938;DARBUU_clean;;Cu;Cu;120;72;75;Cu;1;;;;;;;;;8028;;;;;;;;;;;;;;;;;
939;DEJCIF_clean;;Cu;Cu;85;12;;Cu;2;;;;;;;;;6228;702;;;;;;;;;;;;;;;;
942;EBATUZ_clean;;Cu;Cu;85;24;76;Cu;2;;;;;;;;;6228;;;;;28118;;;;;;;;;;;;
943;EBAVAH_auto;;Cu;Cu;85;24;65;Cu;2;;;;;;;;;6228;;;;;28118;;;;;;;;;;;;
944;EJOQUR_clean;;Cu;Cu;85;16;52;Cu;2;;;;;;;;;6228;962;;;;;;;;;;;;;;;;
945;ENESOH_clean;;Cu;Cu;85;96;34;Cu;2;;;;;;;;;962;887;;;;;;;;;;;;;;;;
947;EXOZIB_clean;;Cu;Cu;25;504;24;Cu;2;;;;;;;;;962;887;;;;10942334;;;;;;;;;;;;
949;FECXES_clean;;Cu;Cu;100;72;62;Cu;2;;;;;;;;;962;702;;;;944;;;;;;;;;;;;
954;GUJREK_clean;;Cu;Cu;140;5;72;Cu;2;;;;;;;;;962;6342;;;;;;;;;;;;;;;;
958;JUTCIM_clean;;Cu;Cu;85;24;76;Cu;2;;;;;;;;;31374;702;962;;;174;;;;;;;;;;;;
959;KADLOT_clean;;Cu;Cu;85;48;;Cu;2;;;;;;;;;6228;6342;;;;;;;;;;;;;;;;
960;KOMFUO_clean;;Cu;Cu;25;252;55;Cu;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
961;LABJUV_clean;;Cu;Cu;175;72;48;Cu;1;;;;;;;;;6342;;;;;;;;;;;;;;;;;
963;LEVDIB_clean;;Cu;Cu;90;48;45;Cu;2;;;;;;;;;6228;702;962;;;313;;;;;;;;;;;;
964;LIKDOA_clean;;Cu;Cu;65;48;79;Cu;2;;;;;;;;;6228;962;;;;313;;;;;;;;;;;;
967;MUNDAC_clean;;Cu;Cu;85;48;65;Cu;1;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
968;MUNDOQ_clean;;Cu;Cu;85;12;71;Cu;1;;;;;;;;;6228;;;;;28118;;;;;;;;;;;;
970;OYIVIC_clean;;Cu;Cu;90;72;61;Cu;2;;;;;;;;;6228;702;;;;;;;;;;;;;;;;
